current ,temperature,vibration
1.5003,33.44,2.9841
1.5204,33.56,3.0152
1.5367,33.38,3.1074
1.5293,33.38,2.894
1.5445,33.44,3.1849
1.5222,33.44,3.0786
1.537,33.44,3.0086
1.5276,33.44,3.0031
1.5306,33.38,2.6361
1.5315,33.38,2.7127
1.5254,33.38,2.9271
1.5334,33.44,3.0069
1.5265,33.44,2.764
1.5264,33.44,3.0679
1.5162,33.44,3.0004
1.5289,33.5,3.0106
1.5228,33.56,2.924
1.5262,33.5,2.6121
1.5283,33.44,3.067
1.5272,33.44,3.0629
1.5268,33.44,2.8992
1.5641,33.44,3.023
1.5784,33.44,3.1511
1.5497,33.38,3.1717
1.5409,33.44,2.7275
1.54,33.5,3.1095
1.5353,33.56,2.864
1.5585,33.44,3.2376
1.5424,33.44,2.9324
1.5428,33.44,2.7433
1.5482,33.44,3.1674
1.5451,33.44,2.85
1.5479,33.44,2.707
1.5446,33.5,3.0517
1.5547,33.5,3.1141
1.5312,33.56,2.8594
1.5332,33.56,3.0963
1.5307,33.56,3.163
1.5277,33.69,3.1278
1.5449,33.63,3.2742
1.5244,33.63,3.0604
1.5277,33.63,3.1907
1.5221,33.56,3.009
1.5262,33.63,3.1092
1.5267,33.75,3.2219
1.5252,33.63,2.8155
1.528,33.63,2.8746
1.5259,33.63,2.802
1.5213,33.63,2.9704
1.5368,33.63,3.1935
1.5383,33.63,3.0809
1.5281,33.63,2.8937
1.523,33.63,2.9472
1.5316,33.63,3.1219
1.5271,33.69,3.3057
1.5275,33.69,3.1508
1.5197,33.63,2.7064
1.5256,33.63,2.7282
1.5188,33.69,3.1321
1.514,33.69,2.6555
1.5241,33.63,2.5365
1.5125,33.69,2.7882
1.5117,33.63,2.6319
1.5164,33.75,3.0216
1.5375,33.63,2.9593
1.517,33.63,3.0681
1.5278,33.56,3.2615
1.5298,33.56,2.9447
1.5329,33.63,3.4254
1.5343,33.63,3.0913
1.524,33.63,2.8119
1.5209,33.69,2.7381
1.5148,33.63,2.7964
1.5215,33.63,2.7858
1.5199,33.63,2.9031
1.5201,33.63,2.9295
1.5305,33.63,2.9306
1.5356,33.63,3.26
1.5257,33.63,3.3245
1.5263,33.63,3.2007
1.5381,33.56,2.6166
1.5281,33.63,3.3292
1.5259,33.63,2.9934
1.5321,33.63,2.8028
1.5315,33.63,2.9025
1.5343,33.69,2.6508
1.5268,33.69,3.1581
1.5664,33.69,2.9607
1.5531,33.56,2.9971
1.5465,33.63,3.036
1.5541,33.56,3.0842
1.5487,33.56,3.0835
1.5908,33.63,2.9963
1.5518,33.5,2.7817
1.5611,33.63,2.9774
1.5716,33.63,2.9074
1.5668,33.56,3.1569
1.5734,33.56,3.0936
1.5892,33.56,2.7436
1.5807,33.56,3.2284
1.5751,33.56,2.9827
1.5886,33.56,2.9386
1.5914,33.56,3.3627
1.5922,33.56,2.9172
1.5808,33.63,2.8853
1.5725,33.56,2.9006
1.5521,33.63,2.9887
1.5518,33.63,3.1318
1.5531,33.63,2.7235
1.5479,33.63,3.0022
1.5432,33.63,2.8741
1.5544,33.75,3.1263
1.5762,33.69,3.3522
1.5575,33.63,2.7865
1.5729,33.69,3.2238
1.583,33.69,2.7953
1.5839,33.63,2.688
1.5756,33.69,2.6632
1.5394,33.69,3.2054
1.5725,33.81,2.8023
1.5546,33.69,3.1186
1.5763,33.69,3.0746
1.5647,33.69,2.9697
1.5597,33.69,3.1043
1.5654,33.75,2.8972
1.5662,33.75,3.1094
1.57,33.75,2.96
1.5702,33.75,2.918
1.5777,33.75,2.8378
1.5759,33.75,3.1202
1.5716,33.75,2.8352
1.5609,33.81,3.1109
1.5636,33.81,2.9988
1.5537,33.75,3.2194
1.554,33.81,3.0203
1.5668,33.88,3.009
1.5491,33.81,2.8024
1.5613,33.81,3.2193
1.581,33.81,3.0982
1.5862,33.81,2.7602
1.5992,33.81,2.7483
1.595,33.81,3.1833
1.5916,33.81,3.0818
1.5709,33.81,3.0489
1.5787,33.81,3.0854
1.5733,33.81,2.9828
1.5801,33.81,3.0239
1.5828,33.81,2.8145
1.569,33.81,2.9261
1.6032,33.81,2.9973
1.6067,33.81,3.201
1.6024,33.81,2.9187
1.6116,33.81,2.9478
1.6041,33.81,3.0693
1.5987,33.81,2.9432
1.5927,33.88,2.9485
1.5929,33.88,2.7548
1.5805,33.88,3.4834
1.5882,33.88,3.0858
1.5888,33.88,2.9433
1.5789,33.88,3.2119
1.5661,33.88,3.2679
1.5962,33.88,3.3855
1.5981,33.88,3.3129
1.6018,33.88,3.1176
1.6047,33.88,3.0293
1.5944,33.88,2.8704
1.6007,33.88,2.9174
1.6036,33.88,3.1536
1.5983,33.88,3.2761
1.6021,33.88,3.1397
1.5989,33.81,2.8143
1.6004,33.88,2.8976
1.5928,33.88,2.8964
1.5938,33.88,2.8977
1.5862,33.88,3.1887
1.588,33.88,2.7576
1.5866,33.94,2.9677
1.5915,33.88,2.8659
2.0814,27.25,3.1905
2.0089,27,3.4384
1.9413,26.94,2.636
2.0403,27,3.2067
1.9854,27.06,2.5659
2.0633,27.12,3.4362
1.9367,27.25,2.6054
1.9914,27.37,2.5481
2.0792,27.56,2.9131
2.0391,27.75,2.6809
1.9323,27.94,2.8427
2.1245,28.19,2.4658
2.1162,28.37,3.5807
2.1061,28.56,2.7695
2.12,28.81,3.0387
2.066,29.06,2.4927
2.1274,29.31,2.7651
2.153,29.56,2.7697
2.1369,29.75,3.3248
2.1499,29.94,2.814
2.1362,30.19,3.2924
2.1299,30.37,2.4333
2.1311,30.56,3.3079
2.1233,30.81,2.402
2.1768,31,2.8682
2.1346,31.19,3.6637
2.1808,31.37,3.1106
2.1988,31.56,3.8788
2.1953,31.75,2.6343
2.1855,31.94,2.6123
2.1963,32.13,3.3172
2.1924,32.25,3.7019
2.1793,32.38,3.3656
2.1684,32.5,2.8094
2.1738,32.63,2.639
2.1793,32.75,2.4047
